skills,interests,education,recommended_career
"mlops, linux, hadoop, aws, pytorch",,master,data engineer
"java, python, statistics, mlops, mathematics",,bachelor,ai consultant
"docker, tensorflow, scala, python",,master,head of ai
"azure, kubernetes, pytorch, sql",,associate,machine learning engineer
"spark, azure, sql, scala",,associate,principal data scientist
"aws, kubernetes, linux, mlops, computer vision",,associate,ai specialist
"sql, spark, linux, java",,master,robotics engineer
"tableau, hadoop, statistics, python",,associate,computer vision engineer
"linux, pytorch, spark, tensorflow, mathematics",,phd,autonomous systems engineer
"git, data visualization, hadoop",,associate,data scientist
"tensorflow, sql, linux, statistics, git",,associate,ai architect
"java, azure, mathematics, deep learning, tableau",,phd,data engineer
"linux, mathematics, tableau, git",,bachelor,robotics engineer
"tensorflow, tableau, kubernetes, linux",,phd,data analyst
"java, deep learning, nlp, scala, computer vision",,master,data analyst
"computer vision, gcp, pytorch",,bachelor,computer vision engineer
"scala, java, statistics",,phd,ai software engineer
"java, spark, data visualization, scala",,associate,machine learning engineer
"hadoop, gcp, azure",,phd,ai architect
"scala, sql, mlops, pytorch",,phd,deep learning engineer
"sql, java, gcp, r, aws",,bachelor,principal data scientist
"scala, tableau, kubernetes",,master,ai product manager
"gcp, statistics, python",,bachelor,data scientist
"java, kubernetes, python",,master,autonomous systems engineer
"kubernetes, python, scala, git, computer vision",,associate,ml ops engineer
"sql, linux, docker",,bachelor,machine learning engineer
"python, tensorflow, gcp",,phd,head of ai
"nlp, mathematics, gcp, r",,master,ai architect
"kubernetes, java, gcp, python",,phd,machine learning engineer
"scala, git, java, spark",,associate,data analyst
"deep learning, mlops, scala, nlp, gcp",,phd,data scientist
"kubernetes, mlops, pytorch, deep learning, r",,master,nlp engineer
"sql, pytorch, computer vision",,phd,principal data scientist
"python, java, computer vision",,associate,ai product manager
"gcp, python, tableau, mlops, deep learning",,phd,head of ai
"git, aws, deep learning",,bachelor,research scientist
"pytorch, r, docker",,bachelor,ai software engineer
"linux, deep learning, python, kubernetes",,bachelor,principal data scientist
"r, gcp, kubernetes",,bachelor,ai architect
"tableau, pytorch, aws",,master,head of ai
"linux, deep learning, tableau, pytorch",,master,ai product manager
"pytorch, java, mathematics, spark",,bachelor,data scientist
"python, aws, azure, nlp",,associate,autonomous systems engineer
"hadoop, pytorch, kubernetes, mathematics",,associate,computer vision engineer
"data visualization, java, tensorflow, computer vision",,associate,data analyst
"tensorflow, azure, data visualization, sql, deep learning",,associate,data scientist
"kubernetes, git, linux, tableau, tensorflow",,phd,ai architect
"statistics, mathematics, tableau",,bachelor,autonomous systems engineer
"data visualization, aws, docker, kubernetes",,bachelor,machine learning researcher
"nlp, data visualization, docker, spark",,bachelor,robotics engineer
"mlops, data visualization, git, computer vision",,phd,machine learning engineer
"data visualization, hadoop, git, deep learning, computer vision",,bachelor,data engineer
"r, sql, mathematics, hadoop, nlp",,associate,nlp engineer
"data visualization, computer vision, java, hadoop, spark",,associate,robotics engineer
"python, r, java, hadoop, computer vision",,associate,ai research scientist
"hadoop, tensorflow, python, linux",,master,ai product manager
"spark, git, nlp, tensorflow, r",,master,ai specialist
"r, hadoop, git, spark",,phd,ai consultant
"git, java, scala",,master,research scientist
"aws, gcp, sql",,master,data scientist
"git, sql, mlops",,phd,ai architect
"git, sql, computer vision, deep learning",,phd,data scientist
"scala, git, deep learning",,associate,ai product manager
"tensorflow, python, gcp",,bachelor,ai product manager
"kubernetes, statistics, computer vision, deep learning, linux",,associate,principal data scientist
"tableau, scala, python, docker, tensorflow",,associate,ai product manager
"tensorflow, python, nlp, computer vision, sql",,phd,principal data scientist
"r, pytorch, computer vision",,bachelor,nlp engineer
"azure, hadoop, kubernetes",,master,ai architect
"spark, tensorflow, mathematics",,bachelor,research scientist
"kubernetes, pytorch, tableau, java, computer vision",,master,data engineer
"pytorch, hadoop, computer vision, data visualization, linux",,associate,data engineer
"git, deep learning, computer vision",,phd,machine learning researcher
"nlp, spark, deep learning, pytorch, docker",,master,nlp engineer
"r, tensorflow, azure, aws",,associate,robotics engineer
"docker, gcp, mlops, data visualization",,associate,nlp engineer
"r, scala, docker, nlp, deep learning",,master,robotics engineer
"git, sql, nlp, gcp",,bachelor,ai consultant
"python, kubernetes, docker",,master,robotics engineer
"python, mlops, hadoop, tensorflow, deep learning",,associate,autonomous systems engineer
"java, aws, r, computer vision, azure",,bachelor,data analyst
"gcp, sql, linux, data visualization, statistics",,bachelor,data scientist
"mathematics, python, java, scala, statistics",,associate,ai consultant
"scala, docker, tableau, statistics, mathematics",,master,autonomous systems engineer
"pytorch, tableau, sql, nlp, spark",,associate,robotics engineer
"tableau, statistics, java, scala, mlops",,associate,ai specialist
"mlops, tableau, azure, pytorch, data visualization",,phd,data analyst
"azure, computer vision, gcp, docker, mlops",,phd,principal data scientist
"data visualization, python, pytorch, sql, hadoop",,master,ai research scientist
"python, data visualization, deep learning, tableau",,bachelor,data engineer
"aws, tensorflow, r, gcp",,bachelor,ml ops engineer
"tableau, r, python, tensorflow, docker",,bachelor,ml ops engineer
"kubernetes, mathematics, data visualization",,phd,ai software engineer
"pytorch, data visualization, scala",,bachelor,research scientist
"pytorch, aws, java, statistics, computer vision",,master,ml ops engineer
"python, git, deep learning, spark, statistics",,bachelor,nlp engineer
"azure, statistics, python, kubernetes, tensorflow",,bachelor,robotics engineer
"deep learning, sql, tableau",,master,data scientist
"java, pytorch, scala",,bachelor,computer vision engineer
"tableau, mlops, tensorflow",,master,data engineer
"scala, hadoop, kubernetes, mathematics, azure",,bachelor,data engineer
"nlp, docker, kubernetes, scala, mathematics",,bachelor,principal data scientist
"r, spark, sql",,bachelor,machine learning researcher
"linux, hadoop, kubernetes, tableau, tensorflow",,associate,ml ops engineer
"python, nlp, kubernetes, pytorch, linux",,bachelor,ai specialist
"python, tensorflow, nlp, pytorch, deep learning",,master,ai specialist
"mlops, data visualization, java, spark, git",,master,ai architect
"nlp, python, deep learning, java",,phd,data analyst
"scala, computer vision, mlops, kubernetes, git",,master,data analyst
"pytorch, python, tableau, statistics",,master,ai research scientist
"spark, git, python, scala",,associate,robotics engineer
"scala, java, python, hadoop",,master,nlp engineer
"nlp, pytorch, spark",,master,ai research scientist
"data visualization, kubernetes, python, r, java",,master,ai architect
"hadoop, python, spark, scala, tensorflow",,bachelor,principal data scientist
"scala, java, python",,associate,ai architect
"sql, python, tensorflow, statistics, git",,bachelor,ai product manager
"spark, mlops, linux",,phd,robotics engineer
"hadoop, r, scala, java, nlp",,phd,data analyst
"docker, tensorflow, tableau, gcp, sql",,bachelor,machine learning engineer
"pytorch, tensorflow, python",,phd,ai architect
"gcp, statistics, data visualization, spark",,bachelor,deep learning engineer
"scala, kubernetes, sql, gcp",,phd,nlp engineer
"java, python, data visualization, linux",,master,ai software engineer
"python, statistics, spark",,master,computer vision engineer
"git, java, python, tensorflow, deep learning",,master,data scientist
"docker, r, mlops",,phd,ai consultant
"docker, kubernetes, hadoop, linux",,master,nlp engineer
"hadoop, spark, python, docker, statistics",,phd,ai research scientist
"r, data visualization, sql, gcp",,phd,robotics engineer
"mlops, spark, python",,bachelor,machine learning researcher
"python, nlp, linux, git",,associate,data scientist
"computer vision, python, mlops, spark, tensorflow",,phd,research scientist
"kubernetes, python, tensorflow, computer vision",,associate,head of ai
"deep learning, gcp, python, docker",,phd,machine learning researcher
"tableau, data visualization, python",,phd,robotics engineer
"scala, mlops, gcp",,master,ai research scientist
"python, git, java",,phd,robotics engineer
"data visualization, nlp, tableau, sql, azure",,master,data scientist
"sql, r, pytorch",,bachelor,data scientist
"spark, computer vision, data visualization, aws",,phd,nlp engineer
"linux, python, computer vision, scala",,master,computer vision engineer
"aws, hadoop, statistics",,bachelor,head of ai
"sql, kubernetes, azure, data visualization",,master,data engineer
"tensorflow, python, tableau, statistics, kubernetes",,bachelor,ai software engineer
"git, deep learning, python, scala, azure",,associate,robotics engineer
"spark, sql, python, mathematics, kubernetes",,master,principal data scientist
"tensorflow, r, tableau, scala, pytorch",,bachelor,head of ai
"sql, pytorch, statistics, deep learning, data visualization",,phd,ai architect
"r, gcp, docker, linux, kubernetes",,phd,autonomous systems engineer
"sql, kubernetes, scala, docker, statistics",,master,data scientist
"kubernetes, mathematics, pytorch, azure, java",,associate,research scientist
"tensorflow, linux, docker",,master,data analyst
"java, kubernetes, mlops",,phd,machine learning researcher
"python, gcp, deep learning, git, tableau",,associate,data scientist
"deep learning, kubernetes, r, aws, spark",,master,ai research scientist
"tensorflow, mathematics, linux, pytorch",,phd,principal data scientist
"gcp, hadoop, docker",,associate,principal data scientist
"scala, sql, tensorflow",,bachelor,research scientist
"sql, azure, r, gcp, spark",,associate,ai software engineer
"statistics, tensorflow, pytorch",,phd,ai product manager
"scala, r, java, nlp, azure",,master,ml ops engineer
"nlp, azure, data visualization",,bachelor,data engineer
"computer vision, spark, mlops",,master,ai research scientist
"kubernetes, docker, python",,bachelor,ai product manager
"pytorch, git, data visualization, computer vision, deep learning",,bachelor,autonomous systems engineer
"mathematics, scala, docker, mlops",,phd,research scientist
"gcp, spark, java",,bachelor,ai research scientist
"kubernetes, statistics, hadoop, deep learning, aws",,master,head of ai
"spark, sql, nlp, python, computer vision",,bachelor,ai architect
"kubernetes, hadoop, git, azure, linux",,phd,data analyst
"scala, python, tensorflow",,bachelor,autonomous systems engineer
"linux, mlops, tableau, python",,bachelor,nlp engineer
"git, python, mlops",,phd,head of ai
"tableau, linux, azure, deep learning, scala",,phd,machine learning engineer
"mlops, sql, pytorch",,bachelor,ml ops engineer
"kubernetes, java, data visualization",,bachelor,autonomous systems engineer
"python, deep learning, tensorflow, data visualization, spark",,master,robotics engineer
"docker, spark, nlp",,master,machine learning researcher
"spark, deep learning, python, docker, git",,bachelor,nlp engineer
"docker, azure, mlops, tableau, tensorflow",,associate,data analyst
"hadoop, scala, sql, azure",,phd,ml ops engineer
"sql, python, tensorflow, aws",,master,machine learning researcher
"nlp, gcp, python, kubernetes, hadoop",,master,ai product manager
"sql, nlp, mathematics",,bachelor,machine learning engineer
"hadoop, scala, tensorflow, data visualization",,bachelor,ai specialist
"deep learning, java, scala, statistics",,master,ai software engineer
"hadoop, pytorch, sql",,bachelor,ai product manager
"azure, data visualization, python",,phd,nlp engineer
"python, linux, statistics",,associate,ai specialist
"r, spark, python",,master,ai specialist
"hadoop, git, deep learning, statistics, python",,phd,ai consultant
"java, linux, mlops",,phd,principal data scientist
"mathematics, r, hadoop",,associate,ai product manager
"git, hadoop, mathematics",,phd,principal data scientist
"kubernetes, sql, mlops, git, r",,associate,machine learning researcher
"python, aws, data visualization",,associate,data analyst
"statistics, git, tableau, tensorflow",,bachelor,ai specialist
"mathematics, hadoop, deep learning, computer vision",,associate,principal data scientist
"mlops, deep learning, spark, nlp, r",,phd,ai specialist
"python, tensorflow, mlops",,bachelor,robotics engineer
"hadoop, tableau, mlops, scala, sql",,phd,ai research scientist
"python, tableau, sql, azure",,bachelor,ml ops engineer
"spark, statistics, scala",,master,principal data scientist
"kubernetes, git, tableau, computer vision, scala",,associate,robotics engineer
"python, kubernetes, linux, pytorch",,master,machine learning researcher
"spark, git, tensorflow",,master,ai consultant
"data visualization, mathematics, java, computer vision",,phd,ai software engineer
"docker, tensorflow, sql, java",,associate,ml ops engineer
"linux, tableau, tensorflow",,bachelor,research scientist
"data visualization, kubernetes, mathematics, java",,master,machine learning researcher
"deep learning, computer vision, nlp, git",,master,ai product manager
"tableau, sql, pytorch, nlp",,associate,data analyst
"pytorch, python, git, java, aws",,bachelor,ai specialist
"nlp, sql, mlops, data visualization",,phd,data analyst
"sql, python, java, r",,master,autonomous systems engineer
"docker, hadoop, nlp, gcp",,associate,machine learning engineer
"docker, python, pytorch, aws",,bachelor,machine learning researcher
"kubernetes, mathematics, mlops, git, computer vision",,phd,ai research scientist
"python, azure, computer vision",,phd,research scientist
"gcp, kubernetes, computer vision, mathematics, spark",,bachelor,ai research scientist
"r, spark, mlops, computer vision",,master,data analyst
"java, hadoop, kubernetes, scala",,phd,autonomous systems engineer
"spark, docker, git",,bachelor,computer vision engineer
"java, mathematics, computer vision, data visualization, python",,bachelor,nlp engineer
"pytorch, kubernetes, docker",,master,ai consultant
"scala, statistics, pytorch, git",,associate,deep learning engineer
"nlp, java, git, python",,associate,machine learning engineer
"python, scala, azure",,phd,data analyst
"deep learning, gcp, pytorch, computer vision, hadoop",,associate,head of ai
"gcp, azure, data visualization, tensorflow",,phd,computer vision engineer
"git, sql, linux, scala, statistics",,associate,ai architect
"git, sql, mathematics, kubernetes",,master,data scientist
"deep learning, docker, python, kubernetes",,associate,machine learning researcher
"r, java, aws",,associate,ai research scientist
"sql, statistics, spark, mathematics",,master,ai consultant
"python, pytorch, computer vision",,phd,data scientist
"scala, deep learning, hadoop, spark, sql",,phd,research scientist
"kubernetes, data visualization, deep learning, pytorch",,associate,ai consultant
"scala, python, computer vision, linux",,master,computer vision engineer
"python, azure, spark, tensorflow",,phd,data engineer
"python, kubernetes, mathematics",,phd,computer vision engineer
"java, r, azure, sql, mlops",,associate,ai specialist
"docker, java, r, deep learning",,master,principal data scientist
"spark, linux, deep learning, azure",,master,ml ops engineer
"python, sql, r, mlops, tensorflow",,master,data analyst
"r, tensorflow, python, computer vision",,associate,principal data scientist
"scala, mlops, git, kubernetes",,master,research scientist
"scala, sql, azure, spark, r",,associate,deep learning engineer
"pytorch, git, azure, spark, computer vision",,master,machine learning researcher
"computer vision, gcp, python, tensorflow",,bachelor,nlp engineer
"aws, hadoop, pytorch",,associate,ai research scientist
"sql, kubernetes, data visualization, spark",,phd,nlp engineer
"azure, aws, r, mathematics, linux",,associate,research scientist
"mlops, python, aws, docker",,associate,ai software engineer
"tableau, deep learning, python, docker, sql",,associate,data engineer
"mlops, scala, git, mathematics",,master,deep learning engineer
"r, tensorflow, statistics",,phd,ai product manager
"r, sql, deep learning, kubernetes, tableau",,bachelor,principal data scientist
"sql, git, kubernetes, azure, gcp",,bachelor,autonomous systems engineer
"data visualization, git, hadoop, mathematics, deep learning",,master,ai specialist
"r, git, docker",,bachelor,head of ai
"scala, spark, deep learning, data visualization",,bachelor,computer vision engineer
"hadoop, python, linux, spark",,master,head of ai
"sql, pytorch, gcp",,bachelor,ai software engineer
"deep learning, azure, scala, hadoop, gcp",,bachelor,ai architect
"java, git, tableau, data visualization, tensorflow",,associate,nlp engineer
"kubernetes, statistics, mlops, tensorflow, gcp",,associate,data scientist
"r, data visualization, sql, java, spark",,phd,principal data scientist
"python, data visualization, kubernetes, tableau",,bachelor,nlp engineer
"deep learning, linux, mathematics",,associate,autonomous systems engineer
"r, linux, computer vision, sql, pytorch",,phd,principal data scientist
"linux, kubernetes, mathematics",,phd,data engineer
"java, r, mlops, statistics",,master,autonomous systems engineer
"mathematics, git, mlops, python",,master,ai specialist
"hadoop, java, aws, data visualization",,phd,ai software engineer
"scala, pytorch, kubernetes, data visualization, hadoop",,master,data scientist
"aws, mlops, kubernetes",,phd,ai product manager
"statistics, sql, azure, aws",,bachelor,research scientist
"git, tensorflow, gcp",,phd,ai software engineer
"gcp, tensorflow, spark, linux",,bachelor,ai specialist
"python, mlops, mathematics",,bachelor,ai specialist
"java, deep learning, linux",,associate,ai research scientist
"tableau, java, git, mathematics, r",,bachelor,robotics engineer
"tensorflow, tableau, kubernetes",,phd,machine learning engineer
"python, kubernetes, scala, mathematics",,master,computer vision engineer
"spark, scala, python, kubernetes",,bachelor,data engineer
"python, r, statistics, deep learning",,phd,data engineer
"azure, mlops, python",,phd,ai consultant
"hadoop, docker, deep learning, aws",,bachelor,ai research scientist
"docker, git, mlops, nlp",,associate,ai product manager
"git, java, tableau, nlp, docker",,master,data scientist
"hadoop, aws, computer vision",,associate,data analyst
"mathematics, python, nlp, tableau",,phd,autonomous systems engineer
"spark, data visualization, mlops, sql",,phd,ai software engineer
"sql, linux, aws, statistics",,bachelor,data scientist
"hadoop, computer vision, kubernetes, java, gcp",,master,ai software engineer
"aws, kubernetes, tableau, data visualization",,associate,machine learning researcher
"spark, kubernetes, java",,bachelor,ai specialist
"mlops, git, gcp, data visualization",,master,ai research scientist
"python, spark, computer vision, mlops, kubernetes",,associate,machine learning engineer
"tensorflow, kubernetes, data visualization, pytorch, docker",,master,ai research scientist
"java, kubernetes, computer vision, docker",,associate,research scientist
"nlp, gcp, hadoop",,master,nlp engineer
"computer vision, tableau, sql, r",,bachelor,machine learning researcher
"sql, mathematics, nlp",,bachelor,data scientist
"linux, spark, docker, sql, pytorch",,phd,ai software engineer
"spark, mlops, linux, mathematics",,associate,machine learning researcher
"hadoop, tableau, aws, kubernetes, gcp",,phd,ai specialist
"hadoop, scala, kubernetes, aws, r",,phd,data analyst
"aws, sql, java, scala",,bachelor,ai architect
"data visualization, java, r",,associate,data analyst
"data visualization, java, tableau, sql",,master,ai consultant
"scala, kubernetes, docker, deep learning",,master,head of ai
"spark, git, python",,master,data engineer
"data visualization, linux, tensorflow, kubernetes",,associate,head of ai
"computer vision, git, kubernetes",,master,head of ai
"sql, java, nlp, spark, hadoop",,bachelor,deep learning engineer
"git, gcp, sql, linux",,associate,research scientist
"linux, r, mlops, scala, sql",,phd,machine learning researcher
"scala, pytorch, git, spark",,bachelor,robotics engineer
"tensorflow, r, docker",,phd,machine learning engineer
"mlops, scala, deep learning, tensorflow, python",,bachelor,ai software engineer
"sql, data visualization, pytorch, java",,bachelor,nlp engineer
"git, deep learning, python",,master,robotics engineer
"git, mlops, sql, java, aws",,master,ml ops engineer
"pytorch, azure, kubernetes",,associate,autonomous systems engineer
"pytorch, aws, deep learning, statistics",,phd,data analyst
"linux, data visualization, gcp, deep learning",,phd,machine learning researcher
"java, spark, nlp",,master,machine learning researcher
"sql, kubernetes, python, mathematics",,associate,ai consultant
"tableau, java, gcp, deep learning, r",,bachelor,nlp engineer
"sql, linux, computer vision, data visualization, gcp",,master,nlp engineer
"pytorch, r, mlops",,phd,autonomous systems engineer
"hadoop, python, scala",,phd,autonomous systems engineer
"spark, sql, hadoop, computer vision, aws",,bachelor,ai specialist
"scala, python, r",,phd,head of ai
"mathematics, computer vision, linux, kubernetes",,master,principal data scientist
"linux, spark, git, pytorch",,phd,ai product manager
"aws, docker, data visualization, tableau, azure",,phd,robotics engineer
"kubernetes, nlp, hadoop, sql, pytorch",,associate,data engineer
"mathematics, scala, hadoop, kubernetes",,bachelor,nlp engineer
"deep learning, nlp, kubernetes, aws, mathematics",,associate,deep learning engineer
"computer vision, scala, aws",,bachelor,ai specialist
"docker, scala, r, mlops",,associate,autonomous systems engineer
"computer vision, pytorch, aws",,phd,machine learning engineer
"linux, mlops, tableau, pytorch, docker",,phd,ai consultant
"pytorch, docker, git",,phd,ai research scientist
"python, git, mlops, scala",,associate,data scientist
"kubernetes, data visualization, mlops",,bachelor,ai research scientist
"gcp, azure, aws",,master,ai research scientist
"nlp, r, mlops, sql, spark",,associate,principal data scientist
"java, aws, hadoop",,phd,deep learning engineer
"statistics, docker, tableau, computer vision, linux",,phd,ai product manager
"tableau, sql, java, mlops",,associate,ai product manager
"deep learning, spark, docker, tensorflow, r",,associate,ai software engineer
"statistics, python, spark, scala",,master,head of ai
"tableau, git, gcp",,master,ai product manager
"deep learning, r, java, docker, tensorflow",,master,data engineer
"scala, r, azure, docker",,associate,principal data scientist
"deep learning, computer vision, kubernetes, git",,bachelor,research scientist
"data visualization, python, spark, tensorflow, scala",,master,ai research scientist
"computer vision, hadoop, docker",,master,machine learning engineer
"kubernetes, python, docker",,bachelor,ai architect
"python, tableau, computer vision, scala, mlops",,associate,nlp engineer
"sql, gcp, tableau",,master,ai software engineer
"sql, deep learning, python",,phd,data engineer
"java, kubernetes, tensorflow, statistics",,master,data analyst
"data visualization, gcp, spark, r, tableau",,phd,ai research scientist
"java, tensorflow, docker, aws",,associate,robotics engineer
"python, deep learning, gcp",,phd,autonomous systems engineer
"python, tensorflow, linux, statistics",,phd,research scientist
"azure, scala, data visualization, pytorch, sql",,bachelor,machine learning engineer
"gcp, python, deep learning",,master,deep learning engineer
"linux, mlops, r, hadoop, nlp",,associate,autonomous systems engineer
"java, tableau, pytorch, mlops",,bachelor,autonomous systems engineer
"gcp, mathematics, deep learning",,bachelor,ai software engineer
"linux, kubernetes, data visualization, computer vision",,phd,ai consultant
"scala, gcp, linux, python, tensorflow",,associate,ai architect
"spark, azure, hadoop, kubernetes, statistics",,associate,data engineer
"tensorflow, nlp, docker, java, linux",,phd,research scientist
"gcp, python, git",,bachelor,head of ai
"aws, statistics, tensorflow",,bachelor,data analyst
"java, mlops, sql, pytorch, azure",,phd,ai specialist
"kubernetes, python, mathematics, gcp, mlops",,bachelor,nlp engineer
"hadoop, docker, statistics, tableau, gcp",,associate,robotics engineer
"scala, r, statistics, kubernetes, gcp",,master,machine learning engineer
"spark, kubernetes, hadoop",,master,principal data scientist
"linux, r, gcp",,bachelor,machine learning researcher
"java, computer vision, data visualization",,master,ai product manager
"python, mathematics, sql, statistics",,associate,ai architect
"kubernetes, spark, python, azure, deep learning",,master,robotics engineer
"git, data visualization, tensorflow",,associate,machine learning engineer
"python, git, tensorflow, java, docker",,associate,data analyst
"statistics, gcp, aws, kubernetes, sql",,associate,machine learning researcher
"r, python, kubernetes, sql, docker",,phd,autonomous systems engineer
"git, kubernetes, scala, gcp",,master,machine learning researcher
"deep learning, spark, mlops, docker, java",,associate,head of ai
"azure, deep learning, tableau",,associate,data scientist
"azure, statistics, python, tensorflow",,master,robotics engineer
"pytorch, java, sql, docker, kubernetes",,bachelor,autonomous systems engineer
"tableau, pytorch, tensorflow, computer vision",,phd,deep learning engineer
"mathematics, tableau, nlp",,master,ai architect
"git, mathematics, docker, python, azure",,associate,data scientist
"scala, python, gcp, data visualization",,associate,deep learning engineer
"spark, r, docker, data visualization",,bachelor,ai architect
"java, aws, deep learning",,associate,machine learning engineer
"docker, pytorch, hadoop",,bachelor,ai software engineer
"pytorch, sql, mathematics, aws",,phd,head of ai
"hadoop, mathematics, data visualization",,master,nlp engineer
"aws, python, scala, mathematics",,phd,principal data scientist
"java, gcp, r",,phd,ai specialist
"data visualization, computer vision, spark",,associate,deep learning engineer
"mathematics, python, deep learning",,associate,principal data scientist
"azure, computer vision, hadoop",,phd,computer vision engineer
"nlp, mlops, spark, kubernetes, scala",,bachelor,data scientist
"tensorflow, kubernetes, spark",,bachelor,ai specialist
"linux, mlops, kubernetes, java, r",,phd,data engineer
"mathematics, tableau, r",,bachelor,ai consultant
"hadoop, spark, kubernetes, java",,master,nlp engineer
"aws, scala, java, docker, deep learning",,master,ai software engineer
"scala, hadoop, data visualization",,phd,computer vision engineer
"linux, azure, tableau",,master,ai research scientist
"sql, python, mathematics, gcp, git",,phd,deep learning engineer
"scala, aws, mathematics, hadoop, data visualization",,master,ai architect
"scala, azure, mlops, spark, java",,associate,ai research scientist
"aws, linux, git, scala, mlops",,phd,ai specialist
"python, hadoop, gcp",,master,head of ai
"git, aws, gcp",,associate,data analyst
"data visualization, gcp, java, linux, sql",,phd,ai architect
"sql, git, nlp, gcp, java",,bachelor,deep learning engineer
"mlops, computer vision, sql, statistics, pytorch",,bachelor,machine learning engineer
"azure, git, data visualization, mathematics",,master,head of ai
"azure, kubernetes, mlops, gcp, pytorch",,phd,data scientist
"sql, spark, hadoop, tableau",,bachelor,ml ops engineer
"data visualization, tensorflow, sql, aws, computer vision",,master,robotics engineer
"aws, sql, kubernetes",,phd,autonomous systems engineer
"hadoop, sql, pytorch, tensorflow",,phd,ml ops engineer
"tableau, computer vision, kubernetes",,associate,nlp engineer
"nlp, hadoop, spark, java",,bachelor,data engineer
"nlp, spark, sql",,bachelor,ai software engineer
"kubernetes, mathematics, java",,phd,robotics engineer
"computer vision, spark, linux",,bachelor,ai architect
"python, gcp, r, kubernetes, aws",,master,deep learning engineer
"python, tensorflow, scala, docker",,associate,ai product manager
"python, java, sql, gcp",,master,data scientist
"gcp, r, computer vision, statistics",,master,ml ops engineer
"spark, sql, kubernetes",,associate,robotics engineer
"pytorch, spark, nlp",,associate,machine learning engineer
"hadoop, kubernetes, java",,master,data analyst
"tableau, computer vision, pytorch",,associate,principal data scientist
"spark, java, data visualization, git",,master,ai software engineer
"hadoop, sql, statistics, computer vision, tableau",,associate,autonomous systems engineer
"sql, kubernetes, java, pytorch",,bachelor,nlp engineer
"deep learning, pytorch, mlops, hadoop",,phd,research scientist
"python, mathematics, tensorflow",,master,ai research scientist
"python, git, deep learning, mathematics, tensorflow",,associate,computer vision engineer
"aws, sql, linux",,phd,data scientist
"pytorch, spark, nlp",,phd,research scientist
"kubernetes, mlops, mathematics",,associate,head of ai
"java, deep learning, sql",,master,ai product manager
"java, docker, tableau, spark",,associate,autonomous systems engineer
"hadoop, data visualization, sql, r, azure",,bachelor,principal data scientist
"sql, linux, mlops, docker",,master,computer vision engineer
"data visualization, computer vision, python, tensorflow",,associate,principal data scientist
"kubernetes, nlp, java, data visualization, computer vision",,master,ai specialist
"linux, gcp, tableau, hadoop, docker",,phd,data analyst
"hadoop, statistics, sql",,associate,ai consultant
"tensorflow, azure, mlops",,bachelor,ml ops engineer
"linux, scala, git, sql, gcp",,bachelor,deep learning engineer
"deep learning, python, spark, mathematics, tensorflow",,bachelor,machine learning engineer
"kubernetes, hadoop, aws, mlops, azure",,phd,ai consultant
"hadoop, git, sql, azure",,master,head of ai
"pytorch, gcp, kubernetes, tensorflow, r",,bachelor,ai product manager
"statistics, azure, docker",,phd,ai consultant
"python, mlops, tableau, data visualization",,associate,data engineer
"mlops, python, computer vision",,master,ai architect
"python, kubernetes, hadoop",,associate,robotics engineer
"mathematics, r, kubernetes",,phd,computer vision engineer
"spark, r, data visualization, git, sql",,master,principal data scientist
"hadoop, kubernetes, pytorch, spark, scala",,bachelor,principal data scientist
"pytorch, sql, deep learning",,associate,ai product manager
"pytorch, java, hadoop",,phd,research scientist
"aws, tensorflow, spark, mathematics",,phd,autonomous systems engineer
"azure, docker, gcp, aws",,associate,computer vision engineer
"gcp, python, mathematics, aws, sql",,bachelor,nlp engineer
"aws, java, spark, mathematics, computer vision",,master,data analyst
"docker, pytorch, tensorflow, linux, kubernetes",,bachelor,deep learning engineer
"mathematics, tableau, gcp, nlp, deep learning",,master,robotics engineer
"linux, git, mlops, azure",,phd,data analyst
"python, docker, nlp, deep learning, tableau",,master,data scientist
"computer vision, git, hadoop",,associate,data engineer
"git, statistics, tensorflow",,phd,ai software engineer
"tensorflow, kubernetes, linux, sql, computer vision",,associate,ai consultant
"java, pytorch, hadoop, data visualization, kubernetes",,bachelor,deep learning engineer
"hadoop, docker, aws, sql, statistics",,master,data engineer
"mlops, tableau, azure, scala",,bachelor,head of ai
"data visualization, scala, spark, sql",,master,ml ops engineer
"gcp, scala, kubernetes, nlp, computer vision",,bachelor,data analyst
"azure, deep learning, tableau",,bachelor,nlp engineer
"kubernetes, azure, git",,bachelor,data engineer
"sql, computer vision, tableau",,master,robotics engineer
"computer vision, scala, sql",,associate,machine learning engineer
"python, linux, gcp, tensorflow, deep learning",,associate,ai software engineer
"gcp, deep learning, hadoop",,phd,deep learning engineer
"deep learning, tableau, kubernetes, scala, gcp",,phd,head of ai
"computer vision, python, mathematics, linux",,associate,ai consultant
"git, hadoop, data visualization, r, computer vision",,phd,deep learning engineer
"nlp, java, docker, spark",,associate,ai research scientist
"statistics, data visualization, kubernetes",,associate,nlp engineer
"kubernetes, python, mlops, mathematics, nlp",,associate,ai product manager
"pytorch, sql, mlops, statistics",,bachelor,data analyst
"linux, sql, python, scala, spark",,bachelor,head of ai
"kubernetes, mlops, linux",,master,ai software engineer
"statistics, nlp, r, git",,bachelor,data analyst
"python, r, computer vision",,master,ai product manager
"kubernetes, deep learning, git, data visualization",,phd,ai architect
"python, data visualization, tensorflow, spark, docker",,master,data analyst
