skills,interests,education,recommended_career,skills_mapped
"scala, tensorflow, kubernetes",,phd,head of ai,kubernetes;scala;tensorflow
"scala, java, tableau, data visualization",,bachelor,data scientist,data visualization;java;scala;tableau
"kubernetes, hadoop, python",,master,robotics engineer,hadoop;kubernetes;python
"gcp, pytorch, mlops, deep learning",,phd,principal data scientist,deep learning;gcp;mlops;pytorch
"git, computer vision, scala",,bachelor,ai architect,computer vision;git;scala
"spark, computer vision, java, mlops",,master,ai architect,computer vision;java;mlops;spark
"statistics, sql, mlops, deep learning",,bachelor,data engineer,deep learning;mlops;sql;statistics
"aws, python, docker, mathematics",,bachelor,machine learning researcher,aws;docker;mathematics;python
"linux, pytorch, gcp, sql",,phd,robotics engineer,gcp;linux;pytorch;sql
"data visualization, azure, docker, gcp, statistics",,phd,principal data scientist,azure;data visualization;docker;gcp;statistics
"r, mlops, kubernetes, docker",,phd,machine learning researcher,docker;kubernetes;mlops;r
"linux, java, python",,phd,ai research scientist,java;linux;python
"python, tensorflow, pytorch, mathematics, sql",,master,machine learning engineer,mathematics;python;pytorch;sql;tensorflow
"r, sql, java",,master,ai consultant,java;r;sql
"java, tensorflow, tableau",,phd,computer vision engineer,java;tableau;tensorflow
"hadoop, deep learning, java, mathematics, r",,phd,machine learning researcher,deep learning;hadoop;java;mathematics;r
"linux, scala, spark",,phd,ai architect,linux;scala;spark
"python, git, sql, gcp, tensorflow",,associate,ai architect,gcp;git;python;sql;tensorflow
"hadoop, linux, tableau, deep learning",,associate,ai research scientist,deep learning;hadoop;linux;tableau
"gcp, java, nlp, computer vision",,phd,ai research scientist,computer vision;gcp;java;nlp
"r, scala, deep learning, linux, python",,phd,machine learning researcher,deep learning;linux;python;r;scala
"tableau, linux, python, hadoop, gcp",,master,machine learning researcher,gcp;hadoop;linux;python;tableau
"sql, mlops, tensorflow",,master,robotics engineer,mlops;sql;tensorflow
"r, sql, hadoop",,phd,ai architect,hadoop;r;sql
"tensorflow, computer vision, hadoop, r, linux",,master,machine learning researcher,computer vision;hadoop;linux;r;tensorflow
"tableau, python, nlp, hadoop",,master,ai product manager,hadoop;nlp;python;tableau
"hadoop, python, tensorflow",,phd,data analyst,hadoop;python;tensorflow
"python, pytorch, sql, kubernetes, java",,bachelor,machine learning researcher,java;kubernetes;python;pytorch;sql
"r, sql, data visualization, deep learning, azure",,phd,nlp engineer,azure;data visualization;deep learning;r;sql
"computer vision, linux, nlp, sql, pytorch",,phd,ai consultant,computer vision;linux;nlp;pytorch;sql
"java, linux, nlp, docker, kubernetes",,phd,data scientist,docker;java;kubernetes;linux;nlp
"tableau, python, tensorflow, scala",,master,research scientist,python;scala;tableau;tensorflow
"python, mlops, spark",,bachelor,computer vision engineer,mlops;python;spark
"azure, mlops, data visualization",,phd,nlp engineer,azure;data visualization;mlops
"python, tensorflow, statistics, mathematics, gcp",,bachelor,machine learning researcher,gcp;mathematics;python;statistics;tensorflow
"mlops, pytorch, data visualization",,master,ai specialist,data visualization;mlops;pytorch
"kubernetes, git, hadoop",,master,ai product manager,git;hadoop;kubernetes
"statistics, deep learning, python, data visualization",,bachelor,deep learning engineer,data visualization;deep learning;python;statistics
"nlp, gcp, kubernetes",,phd,ai product manager,gcp;kubernetes;nlp
"python, deep learning, linux, computer vision, sql",,bachelor,ai research scientist,computer vision;deep learning;linux;python;sql
"git, docker, mlops, deep learning, pytorch",,master,research scientist,deep learning;docker;git;mlops;pytorch
"spark, sql, git",,bachelor,deep learning engineer,git;spark;sql
"java, sql, tableau, deep learning, git",,associate,ai software engineer,deep learning;git;java;sql;tableau
"deep learning, mlops, azure, docker",,associate,ml ops engineer,azure;deep learning;docker;mlops
"azure, deep learning, java, statistics, sql",,bachelor,data analyst,azure;deep learning;java;sql;statistics
"java, r, data visualization, sql",,master,robotics engineer,data visualization;java;r;sql
"linux, kubernetes, nlp",,bachelor,machine learning researcher,kubernetes;linux;nlp
"sql, python, deep learning",,master,robotics engineer,deep learning;python;sql
"python, data visualization, r, nlp",,associate,nlp engineer,data visualization;nlp;python;r
"azure, data visualization, java, sql",,associate,ai research scientist,azure;data visualization;java;sql
"data visualization, linux, python",,associate,research scientist,data visualization;linux;python
"computer vision, sql, pytorch, mlops, deep learning",,bachelor,autonomous systems engineer,computer vision;deep learning;mlops;pytorch;sql
"gcp, java, scala",,associate,data analyst,gcp;java;scala
"spark, aws, r",,phd,machine learning engineer,aws;r;spark
"r, spark, git, kubernetes",,associate,ai specialist,git;kubernetes;r;spark
"python, docker, linux, pytorch",,master,ai software engineer,docker;linux;python;pytorch
"pytorch, linux, gcp, tensorflow, kubernetes",,master,machine learning engineer,gcp;kubernetes;linux;pytorch;tensorflow
"computer vision, docker, mlops, spark, kubernetes",,bachelor,machine learning engineer,computer vision;docker;kubernetes;mlops;spark
"scala, deep learning, kubernetes, gcp, azure",,master,data scientist,azure;deep learning;gcp;kubernetes;scala
"git, pytorch, kubernetes",,bachelor,ml ops engineer,git;kubernetes;pytorch
"azure, mlops, tensorflow",,associate,ml ops engineer,azure;mlops;tensorflow
"data visualization, linux, mlops, aws",,phd,ai product manager,aws;data visualization;linux;mlops
"computer vision, python, tensorflow",,phd,research scientist,computer vision;python;tensorflow
"scala, sql, pytorch, data visualization, kubernetes",,associate,robotics engineer,data visualization;kubernetes;pytorch;scala;sql
"spark, nlp, sql, scala, kubernetes",,master,head of ai,kubernetes;nlp;scala;spark;sql
"deep learning, nlp, azure",,bachelor,data scientist,azure;deep learning;nlp
"python, tensorflow, pytorch, hadoop",,associate,data analyst,hadoop;python;pytorch;tensorflow
"kubernetes, pytorch, statistics, spark",,master,ai architect,kubernetes;pytorch;spark;statistics
"scala, kubernetes, hadoop",,master,principal data scientist,hadoop;kubernetes;scala
"spark, statistics, tableau",,associate,computer vision engineer,spark;statistics;tableau
"java, tableau, docker",,associate,ai research scientist,docker;java;tableau
"nlp, python, hadoop, mathematics, tensorflow",,associate,ai software engineer,hadoop;mathematics;nlp;python;tensorflow
"data visualization, scala, python",,phd,ai architect,data visualization;python;scala
"linux, tableau, python",,associate,autonomous systems engineer,linux;python;tableau
"mlops, python, spark",,bachelor,principal data scientist,mlops;python;spark
"python, tensorflow, docker, pytorch",,associate,ai software engineer,docker;python;pytorch;tensorflow
"tableau, linux, spark, r, deep learning",,bachelor,nlp engineer,deep learning;linux;r;spark;tableau
"azure, sql, kubernetes, pytorch, aws",,associate,ai specialist,aws;azure;kubernetes;pytorch;sql
"r, git, data visualization, pytorch, spark",,phd,ai specialist,data visualization;git;pytorch;r;spark
"azure, statistics, tensorflow",,bachelor,data analyst,azure;statistics;tensorflow
"scala, kubernetes, statistics, gcp",,bachelor,ai software engineer,gcp;kubernetes;scala;statistics
"computer vision, aws, nlp, pytorch, data visualization",,master,robotics engineer,aws;computer vision;data visualization;nlp;pytorch
"spark, deep learning, sql, tableau",,associate,autonomous systems engineer,deep learning;spark;sql;tableau
"git, python, nlp, kubernetes, computer vision",,phd,ai software engineer,computer vision;git;kubernetes;nlp;python
"scala, r, mathematics",,bachelor,autonomous systems engineer,mathematics;r;scala
"azure, linux, mathematics, aws",,phd,data analyst,aws;azure;linux;mathematics
"mathematics, sql, hadoop, nlp",,master,ai specialist,hadoop;mathematics;nlp;sql
"mlops, java, tableau, deep learning, sql",,bachelor,ai product manager,deep learning;java;mlops;sql;tableau
"python, docker, computer vision, deep learning",,master,ml ops engineer,computer vision;deep learning;docker;python
"hadoop, linux, mathematics, java, mlops",,associate,ai software engineer,hadoop;java;linux;mathematics;mlops
"data visualization, sql, kubernetes",,associate,research scientist,data visualization;kubernetes;sql
"docker, r, git, computer vision",,bachelor,principal data scientist,computer vision;docker;git;r
"computer vision, mlops, kubernetes, python",,bachelor,ai product manager,computer vision;kubernetes;mlops;python
"scala, mathematics, tensorflow, java",,bachelor,robotics engineer,java;mathematics;scala;tensorflow
"aws, r, python",,master,ai architect,aws;python;r
"hadoop, python, deep learning",,associate,robotics engineer,deep learning;hadoop;python
"aws, python, gcp",,master,ai consultant,aws;gcp;python
"aws, mathematics, mlops",,associate,ai research scientist,aws;mathematics;mlops
"python, tensorflow, pytorch, aws, tableau",,associate,ai research scientist,aws;python;pytorch;tableau;tensorflow
"docker, nlp, git",,master,ai product manager,docker;git;nlp
"hadoop, kubernetes, computer vision",,associate,head of ai,computer vision;hadoop;kubernetes
"linux, nlp, python, sql",,phd,head of ai,linux;nlp;python;sql
"linux, spark, docker",,associate,ai consultant,docker;linux;spark
"scala, azure, mlops, mathematics",,bachelor,data scientist,azure;mathematics;mlops;scala
"linux, deep learning, scala",,bachelor,ai product manager,deep learning;linux;scala
"aws, git, kubernetes, statistics, deep learning",,bachelor,ai specialist,aws;deep learning;git;kubernetes;statistics
"kubernetes, scala, mathematics",,master,deep learning engineer,kubernetes;mathematics;scala
"computer vision, sql, tableau, spark, kubernetes",,master,computer vision engineer,computer vision;kubernetes;spark;sql;tableau
"mlops, docker, git, r",,phd,deep learning engineer,docker;git;mlops;r
"kubernetes, linux, docker, aws",,master,ai architect,aws;docker;kubernetes;linux
"python, data visualization, gcp",,bachelor,machine learning researcher,data visualization;gcp;python
"scala, linux, kubernetes, mathematics",,phd,ai architect,kubernetes;linux;mathematics;scala
"docker, computer vision, deep learning, python",,associate,machine learning researcher,computer vision;deep learning;docker;python
"aws, hadoop, python",,bachelor,robotics engineer,aws;hadoop;python
"java, azure, sql, statistics",,associate,head of ai,azure;java;sql;statistics
"r, hadoop, computer vision, git, deep learning",,master,ai software engineer,computer vision;deep learning;git;hadoop;r
"mlops, tensorflow, mathematics",,bachelor,machine learning researcher,mathematics;mlops;tensorflow
"deep learning, java, mathematics",,master,principal data scientist,deep learning;java;mathematics
"java, scala, azure, docker",,phd,ml ops engineer,azure;docker;java;scala
"java, data visualization, nlp",,associate,ai research scientist,data visualization;java;nlp
"tensorflow, pytorch, kubernetes",,phd,ai architect,kubernetes;pytorch;tensorflow
"kubernetes, spark, data visualization",,associate,machine learning researcher,data visualization;kubernetes;spark
"docker, spark, kubernetes, sql",,master,nlp engineer,docker;kubernetes;spark;sql
"azure, statistics, mlops",,phd,research scientist,azure;mlops;statistics
"gcp, mlops, hadoop, mathematics, tensorflow",,associate,machine learning engineer,gcp;hadoop;mathematics;mlops;tensorflow
"hadoop, mlops, sql",,associate,deep learning engineer,hadoop;mlops;sql
"linux, aws, python, tensorflow, azure",,associate,robotics engineer,aws;azure;linux;python;tensorflow
"hadoop, r, sql, gcp",,phd,research scientist,gcp;hadoop;r;sql
"git, python, spark, tableau, nlp",,associate,data engineer,git;nlp;python;spark;tableau
"java, data visualization, git, mlops",,associate,research scientist,data visualization;git;java;mlops
"python, tensorflow, git, gcp, azure",,associate,data engineer,azure;gcp;git;python;tensorflow
"statistics, linux, nlp",,master,nlp engineer,linux;nlp;statistics
"tensorflow, python, computer vision, linux, sql",,bachelor,data scientist,computer vision;linux;python;sql;tensorflow
"docker, hadoop, linux, azure",,associate,data analyst,azure;docker;hadoop;linux
"computer vision, python, aws, statistics, tableau",,bachelor,principal data scientist,aws;computer vision;python;statistics;tableau
"r, kubernetes, deep learning",,associate,data scientist,deep learning;kubernetes;r
"pytorch, r, java, tableau",,associate,machine learning engineer,java;pytorch;r;tableau
"pytorch, azure, mlops",,bachelor,ai consultant,azure;mlops;pytorch
"spark, r, sql, tableau",,bachelor,ai research scientist,r;spark;sql;tableau
"azure, git, docker, deep learning, python",,bachelor,head of ai,azure;deep learning;docker;git;python
"git, java, nlp, statistics",,phd,ml ops engineer,git;java;nlp;statistics
"statistics, tensorflow, kubernetes, computer vision, tableau",,bachelor,autonomous systems engineer,computer vision;kubernetes;statistics;tableau;tensorflow
"java, scala, statistics",,master,machine learning researcher,java;scala;statistics
"r, computer vision, python",,associate,computer vision engineer,computer vision;python;r
"mlops, azure, tableau, computer vision",,associate,data engineer,azure;computer vision;mlops;tableau
"computer vision, linux, sql, deep learning",,phd,ai architect,computer vision;deep learning;linux;sql
"python, git, hadoop",,master,autonomous systems engineer,git;hadoop;python
"nlp, gcp, deep learning, azure, mathematics",,master,nlp engineer,azure;deep learning;gcp;mathematics;nlp
"python, deep learning, tensorflow, aws, java",,phd,computer vision engineer,aws;deep learning;java;python;tensorflow
"python, mlops, kubernetes",,associate,ai consultant,kubernetes;mlops;python
"scala, sql, nlp",,master,ml ops engineer,nlp;scala;sql
"git, kubernetes, tableau, tensorflow",,associate,principal data scientist,git;kubernetes;tableau;tensorflow
"data visualization, python, tableau",,bachelor,head of ai,data visualization;python;tableau
"java, tableau, nlp, computer vision",,master,ml ops engineer,computer vision;java;nlp;tableau
"spark, mathematics, sql",,phd,ai specialist,mathematics;spark;sql
"tensorflow, azure, deep learning, python, mathematics",,associate,ai research scientist,azure;deep learning;mathematics;python;tensorflow
"aws, data visualization, sql, azure",,master,machine learning engineer,aws;azure;data visualization;sql
"python, deep learning, spark, hadoop, tensorflow",,phd,principal data scientist,deep learning;hadoop;python;spark;tensorflow
"python, tensorflow, statistics",,associate,ai consultant,python;statistics;tensorflow
"kubernetes, sql, aws, linux",,master,data analyst,aws;kubernetes;linux;sql
"kubernetes, spark, tensorflow, java",,master,computer vision engineer,java;kubernetes;spark;tensorflow
"git, aws, mathematics, tableau",,phd,machine learning researcher,aws;git;mathematics;tableau
"deep learning, sql, mlops",,bachelor,data scientist,deep learning;mlops;sql
"sql, azure, scala, aws, gcp",,bachelor,data engineer,aws;azure;gcp;scala;sql
"nlp, docker, python",,bachelor,ai consultant,docker;nlp;python
"linux, hadoop, scala, spark",,master,head of ai,hadoop;linux;scala;spark
"hadoop, docker, python, tensorflow, computer vision",,bachelor,ai software engineer,computer vision;docker;hadoop;python;tensorflow
"deep learning, python, azure, git",,associate,ai research scientist,azure;deep learning;git;python
"linux, kubernetes, python, tableau, tensorflow",,bachelor,data scientist,kubernetes;linux;python;tableau;tensorflow
"data visualization, hadoop, sql, azure",,phd,machine learning researcher,azure;data visualization;hadoop;sql
"linux, scala, gcp",,master,computer vision engineer,gcp;linux;scala
"git, r, sql, scala",,bachelor,head of ai,git;r;scala;sql
"java, scala, aws, docker, deep learning",,associate,research scientist,aws;deep learning;docker;java;scala
"python, tensorflow, tableau, gcp, mlops",,phd,ai specialist,gcp;mlops;python;tableau;tensorflow
"tableau, python, data visualization, deep learning, hadoop",,phd,ml ops engineer,data visualization;deep learning;hadoop;python;tableau
"hadoop, linux, data visualization, azure, scala",,associate,research scientist,azure;data visualization;hadoop;linux;scala
"sql, tensorflow, hadoop, scala",,phd,machine learning engineer,hadoop;scala;sql;tensorflow
"git, pytorch, tensorflow, azure, tableau",,bachelor,ai consultant,azure;git;pytorch;tableau;tensorflow
"mathematics, nlp, mlops, gcp, deep learning",,bachelor,ai research scientist,deep learning;gcp;mathematics;mlops;nlp
"scala, docker, gcp, kubernetes",,bachelor,machine learning researcher,docker;gcp;kubernetes;scala
"hadoop, python, mathematics, tensorflow",,phd,machine learning researcher,hadoop;mathematics;python;tensorflow
"pytorch, java, r, mathematics, deep learning",,phd,computer vision engineer,deep learning;java;mathematics;pytorch;r
"python, azure, computer vision, gcp, nlp",,associate,ai product manager,azure;computer vision;gcp;nlp;python
"mathematics, mlops, spark",,bachelor,robotics engineer,mathematics;mlops;spark
"aws, git, computer vision, nlp",,phd,ai product manager,aws;computer vision;git;nlp
"sql, gcp, tableau, java, python",,master,computer vision engineer,gcp;java;python;sql;tableau
"computer vision, tableau, kubernetes, mathematics, nlp",,phd,robotics engineer,computer vision;kubernetes;mathematics;nlp;tableau
"nlp, java, sql, data visualization",,bachelor,machine learning researcher,data visualization;java;nlp;sql
"tableau, data visualization, statistics",,phd,machine learning researcher,data visualization;statistics;tableau
"hadoop, python, nlp, mlops, azure",,bachelor,robotics engineer,azure;hadoop;mlops;nlp;python
"pytorch, git, tensorflow",,associate,machine learning engineer,git;pytorch;tensorflow
"kubernetes, azure, r, git, aws",,associate,ai architect,aws;azure;git;kubernetes;r
"hadoop, docker, spark, deep learning",,phd,head of ai,deep learning;docker;hadoop;spark
"spark, docker, mathematics",,bachelor,ai consultant,docker;mathematics;spark
"kubernetes, spark, mlops",,bachelor,autonomous systems engineer,kubernetes;mlops;spark
"statistics, python, tableau, mlops, computer vision",,bachelor,data engineer,computer vision;mlops;python;statistics;tableau
"data visualization, sql, aws, statistics",,master,ai product manager,aws;data visualization;sql;statistics
"python, gcp, git, statistics",,associate,head of ai,gcp;git;python;statistics
"python, tensorflow, java, hadoop",,master,head of ai,hadoop;java;python;tensorflow
"mlops, pytorch, python",,associate,computer vision engineer,mlops;python;pytorch
"git, tensorflow, azure, scala, docker",,associate,computer vision engineer,azure;docker;git;scala;tensorflow
"aws, sql, computer vision, pytorch, deep learning",,phd,nlp engineer,aws;computer vision;deep learning;pytorch;sql
"scala, sql, python, mathematics",,bachelor,ai software engineer,mathematics;python;scala;sql
"python, r, nlp, computer vision, mlops",,master,ai consultant,computer vision;mlops;nlp;python;r
"nlp, tensorflow, docker, statistics",,bachelor,autonomous systems engineer,docker;nlp;statistics;tensorflow
"python, pytorch, mathematics, gcp, azure",,master,principal data scientist,azure;gcp;mathematics;python;pytorch
"python, azure, mathematics",,associate,ai consultant,azure;mathematics;python
"python, hadoop, tensorflow, azure",,bachelor,ml ops engineer,azure;hadoop;python;tensorflow
"data visualization, computer vision, linux",,phd,data engineer,computer vision;data visualization;linux
"r, data visualization, tensorflow",,phd,machine learning researcher,data visualization;r;tensorflow
"sql, tensorflow, tableau, mlops",,master,computer vision engineer,mlops;sql;tableau;tensorflow
"kubernetes, computer vision, mlops, sql",,bachelor,ml ops engineer,computer vision;kubernetes;mlops;sql
"linux, pytorch, tableau, kubernetes",,master,nlp engineer,kubernetes;linux;pytorch;tableau
"python, linux, git",,phd,data engineer,git;linux;python
"computer vision, pytorch, tensorflow",,bachelor,computer vision engineer,computer vision;pytorch;tensorflow
"data visualization, statistics, tensorflow",,associate,principal data scientist,data visualization;statistics;tensorflow
"tensorflow, azure, java, pytorch",,phd,ml ops engineer,azure;java;pytorch;tensorflow
"gcp, aws, tableau, linux, computer vision",,bachelor,machine learning engineer,aws;computer vision;gcp;linux;tableau
"python, docker, tableau, data visualization",,associate,ai software engineer,data visualization;docker;python;tableau
"java, pytorch, python",,phd,data engineer,java;python;pytorch
"tableau, data visualization, git, python",,bachelor,ai software engineer,data visualization;git;python;tableau
"git, hadoop, nlp",,master,autonomous systems engineer,git;hadoop;nlp
"python, hadoop, git, java, statistics",,associate,ai consultant,git;hadoop;java;python;statistics
"python, r, git",,master,computer vision engineer,git;python;r
"gcp, azure, data visualization, linux, spark",,master,research scientist,azure;data visualization;gcp;linux;spark
"pytorch, git, hadoop, java, tableau",,associate,ai software engineer,git;hadoop;java;pytorch;tableau
"computer vision, gcp, tableau",,bachelor,ml ops engineer,computer vision;gcp;tableau
"computer vision, pytorch, java, mathematics",,associate,ai research scientist,computer vision;java;mathematics;pytorch
"kubernetes, r, git",,associate,ai specialist,git;kubernetes;r
"pytorch, git, gcp",,phd,data analyst,gcp;git;pytorch
"kubernetes, spark, nlp, tensorflow, sql",,associate,data engineer,kubernetes;nlp;spark;sql;tensorflow
"data visualization, deep learning, linux",,bachelor,ai research scientist,data visualization;deep learning;linux
"kubernetes, docker, azure",,master,ai consultant,azure;docker;kubernetes
"r, data visualization, tableau, java, hadoop",,master,head of ai,data visualization;hadoop;java;r;tableau
"kubernetes, pytorch, tensorflow, tableau, spark",,master,research scientist,kubernetes;pytorch;spark;tableau;tensorflow
"python, linux, computer vision, tensorflow",,phd,principal data scientist,computer vision;linux;python;tensorflow
"sql, azure, nlp",,associate,ai software engineer,azure;nlp;sql
"scala, nlp, tableau, gcp",,bachelor,principal data scientist,gcp;nlp;scala;tableau
"git, python, mathematics",,bachelor,data engineer,git;mathematics;python
"gcp, git, tableau, nlp, mlops",,master,principal data scientist,gcp;git;mlops;nlp;tableau
"python, java, hadoop, mathematics",,associate,ai research scientist,hadoop;java;mathematics;python
"python, spark, deep learning, nlp, tensorflow",,bachelor,data scientist,deep learning;nlp;python;spark;tensorflow
"nlp, kubernetes, hadoop, mathematics, deep learning",,bachelor,ai product manager,deep learning;hadoop;kubernetes;mathematics;nlp
"scala, linux, hadoop, pytorch",,master,ml ops engineer,hadoop;linux;pytorch;scala
"kubernetes, scala, statistics, git",,phd,ai product manager,git;kubernetes;scala;statistics
"mlops, tensorflow, spark",,phd,data engineer,mlops;spark;tensorflow
"deep learning, computer vision, statistics, scala",,phd,principal data scientist,computer vision;deep learning;scala;statistics
"java, tensorflow, spark, sql",,bachelor,nlp engineer,java;spark;sql;tensorflow
"tableau, kubernetes, java",,associate,ai consultant,java;kubernetes;tableau
"linux, pytorch, kubernetes, git",,associate,ai product manager,git;kubernetes;linux;pytorch
"deep learning, gcp, aws, statistics",,associate,machine learning engineer,aws;deep learning;gcp;statistics
"tensorflow, statistics, data visualization",,phd,ai product manager,data visualization;statistics;tensorflow
"tensorflow, linux, data visualization",,associate,nlp engineer,data visualization;linux;tensorflow
"pytorch, sql, tensorflow, docker",,bachelor,data scientist,docker;pytorch;sql;tensorflow
"tensorflow, python, hadoop, linux",,master,research scientist,hadoop;linux;python;tensorflow
"aws, git, linux",,master,research scientist,aws;git;linux
"sql, tensorflow, git, statistics, python",,associate,data engineer,git;python;sql;statistics;tensorflow
"aws, r, computer vision, mathematics",,master,research scientist,aws;computer vision;mathematics;r
"sql, gcp, git, docker",,associate,head of ai,docker;gcp;git;sql
"scala, gcp, python",,associate,ai consultant,gcp;python;scala
"python, spark, tensorflow",,associate,ai software engineer,python;spark;tensorflow
"mathematics, scala, deep learning, tensorflow",,associate,nlp engineer,deep learning;mathematics;scala;tensorflow
"mlops, sql, data visualization",,associate,robotics engineer,data visualization;mlops;sql
"azure, docker, spark, kubernetes",,master,data engineer,azure;docker;kubernetes;spark
"nlp, hadoop, azure",,associate,nlp engineer,azure;hadoop;nlp
"aws, sql, tableau, tensorflow, r",,associate,robotics engineer,aws;r;sql;tableau;tensorflow
"scala, deep learning, java, computer vision",,bachelor,deep learning engineer,computer vision;deep learning;java;scala
"statistics, docker, aws, deep learning",,phd,ml ops engineer,aws;deep learning;docker;statistics
"mathematics, data visualization, azure, java",,master,nlp engineer,azure;data visualization;java;mathematics
"deep learning, statistics, linux, python",,associate,ai software engineer,deep learning;linux;python;statistics
"nlp, java, tableau, tensorflow, mathematics",,associate,machine learning researcher,java;mathematics;nlp;tableau;tensorflow
"python, tensorflow, r",,associate,machine learning researcher,python;r;tensorflow
"aws, git, mlops, hadoop, deep learning",,phd,research scientist,aws;deep learning;git;hadoop;mlops
"python, azure, scala",,associate,head of ai,azure;python;scala
"docker, data visualization, statistics, r, tableau",,phd,deep learning engineer,data visualization;docker;r;statistics;tableau
"data visualization, python, tensorflow, mathematics",,associate,deep learning engineer,data visualization;mathematics;python;tensorflow
"azure, tensorflow, r",,bachelor,deep learning engineer,azure;r;tensorflow
"python, data visualization, computer vision",,bachelor,data scientist,computer vision;data visualization;python
"spark, nlp, data visualization, r",,bachelor,ai specialist,data visualization;nlp;r;spark
"aws, mlops, docker, python",,master,autonomous systems engineer,aws;docker;mlops;python
"java, linux, tensorflow",,bachelor,deep learning engineer,java;linux;tensorflow
"spark, azure, computer vision",,phd,ai specialist,azure;computer vision;spark
"python, gcp, hadoop, java, statistics",,master,machine learning engineer,gcp;hadoop;java;python;statistics
"computer vision, kubernetes, hadoop",,phd,machine learning researcher,computer vision;hadoop;kubernetes
"azure, mlops, statistics",,phd,ai consultant,azure;mlops;statistics
"linux, mlops, kubernetes",,associate,ai specialist,kubernetes;linux;mlops
"r, scala, pytorch, aws, git",,master,data scientist,aws;git;pytorch;r;scala
"git, spark, computer vision, tableau",,bachelor,ai specialist,computer vision;git;spark;tableau
"gcp, tableau, pytorch, statistics",,bachelor,nlp engineer,gcp;pytorch;statistics;tableau
"gcp, aws, azure, python, spark",,bachelor,data scientist,aws;azure;gcp;python;spark
"scala, tensorflow, mathematics, linux, aws",,phd,data engineer,aws;linux;mathematics;scala;tensorflow
"hadoop, mathematics, docker",,phd,ai software engineer,docker;hadoop;mathematics
"kubernetes, nlp, sql, docker, mathematics",,master,ai architect,docker;kubernetes;mathematics;nlp;sql
"python, tensorflow, computer vision, data visualization",,associate,ai specialist,computer vision;data visualization;python;tensorflow
"pytorch, kubernetes, gcp",,associate,ai architect,gcp;kubernetes;pytorch
"scala, sql, nlp, azure, mathematics",,associate,autonomous systems engineer,azure;mathematics;nlp;scala;sql
"sql, python, tensorflow, docker",,phd,ai architect,docker;python;sql;tensorflow
"computer vision, git, pytorch, java, gcp",,bachelor,ai specialist,computer vision;gcp;git;java;pytorch
"pytorch, docker, git, scala",,bachelor,principal data scientist,docker;git;pytorch;scala
"hadoop, python, mlops",,phd,autonomous systems engineer,hadoop;mlops;python
"pytorch, linux, r, aws, git",,master,ai software engineer,aws;git;linux;pytorch;r
"aws, docker, azure, computer vision, linux",,master,principal data scientist,aws;azure;computer vision;docker;linux
"azure, mathematics, tableau, linux, kubernetes",,phd,head of ai,azure;kubernetes;linux;mathematics;tableau
"spark, tableau, sql, data visualization, nlp",,phd,ai architect,data visualization;nlp;spark;sql;tableau
"gcp, linux, tableau, aws, nlp",,master,ai software engineer,aws;gcp;linux;nlp;tableau
"docker, python, git, spark, tensorflow",,bachelor,data engineer,docker;git;python;spark;tensorflow
"tensorflow, python, tableau, kubernetes",,phd,autonomous systems engineer,kubernetes;python;tableau;tensorflow
"gcp, mlops, pytorch",,master,principal data scientist,gcp;mlops;pytorch
"hadoop, kubernetes, r",,master,deep learning engineer,hadoop;kubernetes;r
"data visualization, git, deep learning, r, sql",,master,ml ops engineer,data visualization;deep learning;git;r;sql
"kubernetes, git, tableau, scala, azure",,phd,deep learning engineer,azure;git;kubernetes;scala;tableau
"sql, nlp, r",,bachelor,machine learning engineer,nlp;r;sql
"tableau, kubernetes, mlops",,master,machine learning researcher,kubernetes;mlops;tableau
"docker, kubernetes, sql",,master,machine learning researcher,docker;kubernetes;sql
"python, scala, mlops",,associate,ml ops engineer,mlops;python;scala
"gcp, pytorch, sql, aws, java",,associate,head of ai,aws;gcp;java;pytorch;sql
"tensorflow, sql, data visualization, statistics",,associate,data scientist,data visualization;sql;statistics;tensorflow
"scala, linux, python, mlops, docker",,associate,head of ai,docker;linux;mlops;python;scala
"git, scala, mathematics",,phd,principal data scientist,git;mathematics;scala
"tableau, hadoop, mathematics",,phd,ai product manager,hadoop;mathematics;tableau
"gcp, computer vision, python",,bachelor,principal data scientist,computer vision;gcp;python
"python, scala, java, tensorflow, spark",,phd,head of ai,java;python;scala;spark;tensorflow
"r, azure, tableau, deep learning, hadoop",,bachelor,machine learning researcher,azure;deep learning;hadoop;r;tableau
"nlp, spark, python, java",,bachelor,robotics engineer,java;nlp;python;spark
"scala, computer vision, tensorflow",,bachelor,principal data scientist,computer vision;scala;tensorflow
"azure, mlops, python, computer vision",,phd,data analyst,azure;computer vision;mlops;python
"spark, r, python, aws",,bachelor,machine learning researcher,aws;python;r;spark
"computer vision, gcp, statistics",,phd,ai product manager,computer vision;gcp;statistics
"azure, statistics, tableau, aws",,master,ai architect,aws;azure;statistics;tableau
"azure, pytorch, mlops, scala",,master,autonomous systems engineer,azure;mlops;pytorch;scala
"kubernetes, aws, docker",,bachelor,head of ai,aws;docker;kubernetes
"tensorflow, scala, hadoop",,associate,ai consultant,hadoop;scala;tensorflow
"spark, scala, kubernetes, tensorflow, mathematics",,phd,machine learning researcher,kubernetes;mathematics;scala;spark;tensorflow
"aws, python, tableau, java, computer vision",,phd,research scientist,aws;computer vision;java;python;tableau
"kubernetes, python, mathematics, gcp, nlp",,bachelor,ml ops engineer,gcp;kubernetes;mathematics;nlp;python
